job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,job_title_encoded,experience_level_encoded,employment_type_encoded,work_models_encoded,employee_residence_encoded,salary_currency_encoded,company_location_encoded,company_size_encoded
80,2,2,1,2024,84,170200,20,170200,73,1,80,2,2,1,84,20,73,1
80,2,2,1,2024,84,83900,20,83900,73,1,80,2,2,1,84,20,73,1
36,3,2,2,2024,84,169000,20,169000,73,1,36,3,2,2,84,20,73,1
36,3,2,2,2024,84,120000,20,120000,73,1,36,3,2,2,84,20,73,1
125,3,2,1,2024,84,450000,20,450000,73,1,125,3,2,1,84,20,73,1
125,3,2,1,2024,84,245000,20,245000,73,1,125,3,2,1,84,20,73,1
85,3,2,1,2024,84,99500,20,99500,73,1,85,3,2,1,84,20,73,1
85,3,2,1,2024,84,53300,20,53300,73,1,85,3,2,1,84,20,73,1
125,3,2,1,2024,84,240960,20,240960,73,1,125,3,2,1,84,20,73,1
125,3,2,1,2024,84,200800,20,200800,73,1,125,3,2,1,84,20,73,1
71,2,2,1,2024,84,170200,20,170200,73,1,71,2,2,1,84,20,73,1
71,2,2,1,2024,84,83900,20,83900,73,1,71,2,2,1,84,20,73,1
46,2,2,2,2024,84,125000,20,125000,73,1,46,2,2,2,84,20,73,1
46,2,2,2,2024,84,115000,20,115000,73,1,46,2,2,2,84,20,73,1
65,3,2,1,2024,84,261050,20,261050,73,1,65,3,2,1,84,20,73,1
65,3,2,1,2024,84,187000,20,187000,73,1,65,3,2,1,84,20,73,1
100,3,2,1,2024,84,331640,20,331640,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,283780,20,283780,73,1,100,3,2,1,84,20,73,1
36,3,2,1,2024,84,146500,20,146500,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,96000,20,96000,73,1,36,3,2,1,84,20,73,1
33,3,2,1,2024,84,235000,20,235000,73,1,33,3,2,1,84,20,73,1
33,3,2,1,2024,84,185000,20,185000,73,1,33,3,2,1,84,20,73,1
73,2,2,2,2024,84,140400,20,140400,73,1,73,2,2,2,84,20,73,1
73,2,2,2,2024,84,90000,20,90000,73,1,73,2,2,2,84,20,73,1
126,3,2,1,2024,84,440000,20,440000,73,1,126,3,2,1,84,20,73,1
126,3,2,1,2024,84,245000,20,245000,73,1,126,3,2,1,84,20,73,1
43,3,2,1,2024,84,76300,20,76300,73,1,43,3,2,1,84,20,73,1
46,3,2,1,2024,84,260000,20,260000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,225000,20,225000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,165000,20,165000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,137000,20,137000,73,1,46,3,2,1,84,20,73,1
13,3,2,1,2024,84,260000,20,260000,73,0,13,3,2,1,84,20,73,0
13,3,2,1,2024,84,136000,20,136000,73,0,13,3,2,1,84,20,73,0
73,3,2,1,2024,84,296100,20,296100,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,144500,20,144500,73,1,73,3,2,1,84,20,73,1
126,3,2,1,2024,84,278700,20,278700,73,1,126,3,2,1,84,20,73,1
126,3,2,1,2024,84,159300,20,159300,73,1,126,3,2,1,84,20,73,1
73,3,2,2,2024,84,206000,20,206000,73,1,73,3,2,2,84,20,73,1
73,3,2,2,2024,84,140250,20,140250,73,1,73,3,2,2,84,20,73,1
8,2,2,1,2024,84,100000,20,100000,73,1,8,2,2,1,84,20,73,1
8,2,2,1,2024,84,75000,20,75000,73,1,8,2,2,1,84,20,73,1
50,3,2,1,2024,84,180000,20,180000,73,1,50,3,2,1,84,20,73,1
50,3,2,1,2024,84,140000,20,140000,73,1,50,3,2,1,84,20,73,1
36,3,2,1,2024,84,116800,20,116800,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,87600,20,87600,73,1,36,3,2,1,84,20,73,1
73,3,2,1,2024,84,170000,20,170000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,125000,20,125000,73,1,73,3,2,1,84,20,73,1
43,3,2,1,2024,84,283500,20,283500,73,1,43,3,2,1,84,20,73,1
43,3,2,1,2024,84,149000,20,149000,73,1,43,3,2,1,84,20,73,1
97,3,2,1,2024,84,357900,20,357900,73,1,97,3,2,1,84,20,73,1
97,3,2,1,2024,84,189400,20,189400,73,1,97,3,2,1,84,20,73,1
73,3,2,1,2024,84,212000,20,212000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,93400,20,93400,73,1,73,3,2,1,84,20,73,1
46,3,2,1,2024,84,128656,20,128656,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,103330,20,103330,73,1,46,3,2,1,84,20,73,1
100,3,2,1,2024,84,250900,20,250900,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,135200,20,135200,73,1,100,3,2,1,84,20,73,1
13,3,2,1,2024,84,414000,20,414000,73,1,13,3,2,1,84,20,73,1
13,3,2,1,2024,84,216000,20,216000,73,1,13,3,2,1,84,20,73,1
75,2,2,1,2024,84,69000,20,69000,73,1,75,2,2,1,84,20,73,1
75,2,2,1,2024,84,51000,20,51000,73,1,75,2,2,1,84,20,73,1
36,3,2,1,2024,84,109000,20,109000,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,62300,20,62300,73,1,36,3,2,1,84,20,73,1
8,2,2,1,2024,84,134160,20,134160,73,1,8,2,2,1,84,20,73,1
8,2,2,1,2024,84,72240,20,72240,73,1,8,2,2,1,84,20,73,1
36,2,2,1,2024,84,90500,20,90500,73,1,36,2,2,1,84,20,73,1
36,2,2,1,2024,84,42400,20,42400,73,1,36,2,2,1,84,20,73,1
43,3,2,1,2024,84,381500,20,381500,73,1,43,3,2,1,84,20,73,1
43,3,2,1,2024,84,202500,20,202500,73,1,43,3,2,1,84,20,73,1
100,3,2,1,2024,84,257000,20,257000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,129000,20,129000,73,1,100,3,2,1,84,20,73,1
36,0,2,2,2024,84,120000,20,120000,73,1,36,0,2,2,84,20,73,1
36,0,2,2,2024,84,100000,20,100000,73,1,36,0,2,2,84,20,73,1
36,0,2,1,2024,84,80000,20,80000,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,45700,20,45700,73,1,36,0,2,1,84,20,73,1
65,3,2,1,2024,84,138000,20,138000,73,1,65,3,2,1,84,20,73,1
65,3,2,1,2024,84,86000,20,86000,73,1,65,3,2,1,84,20,73,1
65,3,2,1,2024,84,152000,20,152000,73,1,65,3,2,1,84,20,73,1
65,3,2,1,2024,84,133200,20,133200,73,1,65,3,2,1,84,20,73,1
36,3,2,1,2024,84,135000,20,135000,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,120000,20,120000,73,1,36,3,2,1,84,20,73,1
46,3,2,1,2024,84,175000,20,175000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,150000,20,150000,73,1,46,3,2,1,84,20,73,1
45,2,2,1,2024,84,100000,20,100000,73,1,45,2,2,1,84,20,73,1
45,2,2,1,2024,84,95000,20,95000,73,1,45,2,2,1,84,20,73,1
36,3,2,2,2024,84,134200,20,134200,73,1,36,3,2,2,84,20,73,1
36,3,2,2,2024,84,117000,20,117000,73,1,36,3,2,2,84,20,73,1
126,2,2,1,2024,84,179000,20,179000,73,1,126,2,2,1,84,20,73,1
126,2,2,1,2024,84,112000,20,112000,73,1,126,2,2,1,84,20,73,1
43,3,2,1,2024,84,234000,20,234000,73,1,43,3,2,1,84,20,73,1
43,3,2,1,2024,84,146000,20,146000,73,1,43,3,2,1,84,20,73,1
36,0,2,2,2024,84,75065,20,75065,73,1,36,0,2,2,84,20,73,1
36,0,2,2,2024,84,41419,20,41419,73,1,36,0,2,2,84,20,73,1
46,2,2,1,2024,84,107800,20,107800,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,61600,20,61600,73,1,46,2,2,1,84,20,73,1
97,3,2,1,2024,84,324000,20,324000,73,1,97,3,2,1,84,20,73,1
97,3,2,1,2024,84,159000,20,159000,73,1,97,3,2,1,84,20,73,1
36,0,2,2,2024,84,80000,20,80000,73,1,36,0,2,2,84,20,73,1
36,0,2,2,2024,84,75000,20,75000,73,1,36,0,2,2,84,20,73,1
126,3,2,1,2024,84,179000,20,179000,73,1,126,3,2,1,84,20,73,1
126,3,2,1,2024,84,112000,20,112000,73,1,126,3,2,1,84,20,73,1
46,3,2,1,2024,84,247300,20,247300,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,139700,20,139700,73,1,46,3,2,1,84,20,73,1
36,0,2,1,2024,84,93000,20,93000,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,65750,20,65750,73,1,36,0,2,1,84,20,73,1
126,3,2,1,2024,84,234000,20,234000,73,1,126,3,2,1,84,20,73,1
126,3,2,1,2024,84,146000,20,146000,73,1,126,3,2,1,84,20,73,1
46,2,2,1,2024,84,130000,20,130000,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,90800,20,90800,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,166000,20,166000,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,73100,20,73100,73,1,46,2,2,1,84,20,73,1
73,2,2,1,2024,84,166000,20,166000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,73100,20,73100,73,1,73,2,2,1,84,20,73,1
100,3,2,1,2024,84,186754,20,186754,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,101000,20,101000,73,1,100,3,2,1,84,20,73,1
73,3,2,1,2024,84,64000,7,80000,73,1,73,3,2,1,84,7,73,1
73,3,2,1,2024,84,54000,7,67500,73,1,73,3,2,1,84,7,73,1
46,3,2,1,2024,84,138000,20,138000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,86000,20,86000,73,1,46,3,2,1,84,20,73,1
46,2,2,1,2024,84,106050,20,106050,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,80420,20,80420,73,1,46,2,2,1,84,20,73,1
36,0,2,1,2024,84,179000,20,179000,73,1,36,0,2,1,84,20,73,1
36,0,2,1,2024,84,112000,20,112000,73,1,36,0,2,1,84,20,73,1
125,3,2,1,2024,84,234000,20,234000,73,1,125,3,2,1,84,20,73,1
125,3,2,1,2024,84,146000,20,146000,73,1,125,3,2,1,84,20,73,1
43,3,2,1,2024,84,186000,20,186000,73,1,43,3,2,1,84,20,73,1
43,3,2,1,2024,84,81800,20,81800,73,1,43,3,2,1,84,20,73,1
46,3,2,1,2024,84,160000,20,160000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,94100,20,94100,73,1,46,3,2,1,84,20,73,1
46,1,2,1,2024,84,225000,20,225000,73,1,46,1,2,1,84,20,73,1
46,1,2,1,2024,84,215000,20,215000,73,1,46,1,2,1,84,20,73,1
100,3,2,2,2024,84,303400,20,303400,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,216700,20,216700,73,1,100,3,2,2,84,20,73,1
100,2,2,1,2024,84,166000,20,166000,73,1,100,2,2,1,84,20,73,1
100,2,2,1,2024,84,73100,20,73100,73,1,100,2,2,1,84,20,73,1
54,3,2,2,2024,84,130000,20,130000,73,1,54,3,2,2,84,20,73,1
54,3,2,2,2024,84,110000,20,110000,73,1,54,3,2,2,84,20,73,1
46,2,2,1,2024,84,115000,20,115000,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,80000,20,80000,73,1,46,2,2,1,84,20,73,1
100,3,2,2,2024,84,195000,20,195000,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,170000,20,170000,73,1,100,3,2,2,84,20,73,1
126,3,2,1,2024,84,295000,20,295000,73,1,126,3,2,1,84,20,73,1
46,3,2,2,2024,84,152375,20,152375,73,1,46,3,2,2,84,20,73,1
46,3,2,2,2024,84,94000,20,94000,73,1,46,3,2,2,84,20,73,1
45,3,2,2,2024,84,180000,20,180000,73,1,45,3,2,2,84,20,73,1
45,3,2,2,2024,84,130000,20,130000,73,1,45,3,2,2,84,20,73,1
8,3,2,2,2024,84,195000,20,195000,73,1,8,3,2,2,84,20,73,1
8,3,2,2,2024,84,165000,20,165000,73,1,8,3,2,2,84,20,73,1
73,2,2,1,2024,84,218000,20,218000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,152600,20,152600,73,1,73,2,2,1,84,20,73,1
107,2,2,1,2024,84,750000,20,750000,73,1,107,2,2,1,84,20,73,1
107,2,2,1,2024,84,150000,20,150000,73,1,107,2,2,1,84,20,73,1
73,3,2,1,2024,84,136197,20,136197,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,100000,20,100000,73,1,73,3,2,1,84,20,73,1
125,3,2,1,2024,84,295000,20,295000,73,1,125,3,2,1,84,20,73,1
46,1,2,1,2024,84,179000,20,179000,73,1,46,1,2,1,84,20,73,1
46,1,2,1,2024,84,112000,20,112000,73,1,46,1,2,1,84,20,73,1
73,2,2,1,2024,84,175100,20,175100,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,82915,20,82915,73,1,73,2,2,1,84,20,73,1
66,3,2,1,2024,84,112000,20,112000,73,1,66,3,2,1,84,20,73,1
66,3,2,1,2024,84,109000,20,109000,73,1,66,3,2,1,84,20,73,1
8,2,2,1,2024,84,116550,20,116550,73,1,8,2,2,1,84,20,73,1
8,2,2,1,2024,84,79200,20,79200,73,1,8,2,2,1,84,20,73,1
73,2,2,2,2024,84,168000,20,168000,73,1,73,2,2,2,84,20,73,1
73,2,2,2,2024,84,120000,20,120000,73,1,73,2,2,2,84,20,73,1
100,3,2,1,2024,84,210000,20,210000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,160000,20,160000,73,1,100,3,2,1,84,20,73,1
46,3,2,1,2024,84,116000,20,116000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,90000,20,90000,73,1,46,3,2,1,84,20,73,1
126,3,2,1,2024,84,247600,20,247600,73,0,126,3,2,1,84,20,73,0
126,3,2,1,2024,84,127300,20,127300,73,0,126,3,2,1,84,20,73,0
73,3,2,2,2024,84,190600,20,190600,73,1,73,3,2,2,84,20,73,1
73,3,2,2,2024,84,94400,20,94400,73,1,73,3,2,2,84,20,73,1
100,3,2,1,2024,84,258100,20,258100,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,151900,20,151900,73,1,100,3,2,1,84,20,73,1
125,2,2,1,2024,84,720000,20,720000,73,1,125,2,2,1,84,20,73,1
125,2,2,1,2024,84,100000,20,100000,73,1,125,2,2,1,84,20,73,1
36,3,2,1,2024,84,171000,20,171000,73,1,36,3,2,1,84,20,73,1
36,3,2,1,2024,84,93000,20,93000,73,1,36,3,2,1,84,20,73,1
66,3,2,1,2024,84,104000,20,104000,73,1,66,3,2,1,84,20,73,1
66,3,2,1,2024,84,80000,20,80000,73,1,66,3,2,1,84,20,73,1
36,2,2,1,2024,84,158000,20,158000,73,1,36,2,2,1,84,20,73,1
36,2,2,1,2024,84,106000,20,106000,73,1,36,2,2,1,84,20,73,1
